id,mounths,pm10 in æg/m3,so2 in æg/m3,nox  in æg/m3, pm2.5  in æg/m3,ammonia - nh3  in æg/m3,o3   in æg/m3,co  in mg/m3, benzene  in æg/m3
1,Jan-17,174.0,26.4,35.0,79,25.0,107.6,0.9,0.7
2,Feb-17,143.0,35.1,40.3,75,31.0,103.0,0.9,0.9
3,Mar-17,142.0,32.1,30.9,59,26.0,80.7,0.8,0.5
4,Apr-17,117.0,50.9,36.3,75,36.0,79.5,0.9,0.7
5,May-17,,41.6,25.2,53,28.0,70.0,0.5,0.5
6,Jun-17,,35.5,21.2,25,26.0,38.8,0.3,0.6
7,Jul-17,111.0,38.9,21.5,29,30.0,24.4,0.3,0.7
8,Aug-17,78.0,36.0,18.4,35,23.0,22.5,0.4,0.5
9,Sep-17,86.0,30.0,22.3,39,20.0,35.2,0.4,0.4
10,Oct-17,146.0,37.1,32.6,63,23.0,52.8,0.6,0.5
11,Nov-17,,22.1,29.7,50,17.0,57.4,0.5,0.2
12,Dec-17,,13.1,38.5,72,19.0,63.5,0.8,0.3
13,Jan-18,,,,75,26.0,71.7,0.8,0.4
14,Feb-18,178.0,17.0,37.0,53,23.0,54.1,0.7,0.3
15,Mar-18,144.0,17.2,29.7,63,22.0,48.3,0.7,0.3
16,Apr-18,159.0,16.5,30.0,44,20.0,38.7,0.5,0.2
17,May-18,130.0,16.6,32.3,39,16.9,39.5,0.5,0.2
18,Jun-18,121.0,16.8,32.9,27,27.9,18.0,0.7,0.3
19,Jul-18,123.0,14.5,31.3,22,33.0,7.9,0.2,0.4
20,Aug-18,171.0,16.5,28.8,19,24.0,12.6,0.3,0.2
21,Sep-18,156.0,16.0,27.8,43,22.0,9.9,0.4,0.2
22,Oct-18,125.0,16.5,27.3,63,14.0,18.0,0.5,0.1
23,Nov-18,132.0,14.2,30.4,54,11.0,20.1,0.5,0.1
24,Dec-18,139.0,14.3,29.8,67,11.0,19.3,0.6,0.1
25,Jan-19,106.0,4.8,26.0,77,21.0,17.6,0.6,0.1
26,Feb-19,106.0,6.1,29.5,56,16.0,18.9,0.6,0.1
27,Mar-19,104.0,4.8,26.0,50,19.0,15.1,0.6,0.1
28,Apr-19,99.0,5.5,28.2,39,14.0,31.6,0.5,0.1
29,May-19,108.0,8.9,28.5,50,25.0,34.2,0.6,0.1
30,Jun-19,104.0,8.9,29.0,31,26.0,24.9,0.4,0.1
31,Jul-19,95.0,19.6,29.3,24,25.0,18.0,0.3,0.1
32,Aug-19,100.0,29.7,27.5,25,34.0,21.4,0.4,0.1
33,Sep-19,93.0,22.3,26.2,24,27.0,21.6,0.5,0.1
34,Oct-19,91.0,9.8,27.0,37,22.0,29.7,0.5,0.1
35,Nov-19,100.0,12.0,29.7,79,22.0,41.7,0.6,0.2
36,Dec-19,108.0,5.1,30.7,73,20.0,33.5,0.6,0.2
37,Jan-20,134.0,9.0,33.3,58,23.0,31.5,0.5,0.2
38,Feb-20,131.0,9.1,37.1,44,21.0,26.0,0.4,0.3
39,Mar-20,129.0,9.0,37.2,35,22.0,23.5,0.4,0.2
40,Apr-20,,7.7,,27,23.0,26.4,0.3,0.1
41,May-20,122.0,12.0,25.3,30,32.0,24.0,0.4,0.3
42,Jun-20,133.0,12.0,31.4,22,37.0,12.0,0.3,0.4
43,Jul-20,129.0,10.0,28.0,18,23.0,7.8,0.3,0.3
44,Aug-20,113.0,13.4,27.1,17,28.0,6.9,0.3,0.3
45,Sep-20,79.0,22.5,28.1,23,32.0,25.9,0.3,0.5
46,Oct-20,84.0,24.3,28.5,57,33.0,45.2,0.4,0.4
47,Nov-20,102.0,11.0,32.0,59,17.0,47.2,0.4,0.2
48,Dec-20,106.0,9.8,29.4,87,17.0,36.6,0.5,0.2
49,Jan-21,104.0,4.0,30.9,74,22.0,21.7,0.5,0.2
50,Feb-21,96.0,8.6,34.5,66,22.0,10.2,0.5,0.2
51,Mar-21,105.0,12.0,31.6,67,24.0,2.4,0.5,0.3
52,Apr-21,111.0,10.8,24.6,51,29.0,8.7,0.4,0.2
53,May-21,82.0,8.4,28.9,26,21.0,6.1,0.3,0.1
54,Jun-21,85.0,16.7,28.9,18,20.0,7.8,0.3,0.1
55,Jul-21,83.0,18.8,27.3,12,20.0,8.7,0.3,0.1
56,Aug-21,82.0,24.9,27.0,24,25.0,7.4,0.3,0.1
57,Sep-21,85.0,24.8,28.5,19,20.0,4.7,0.4,0.1
58,Oct-21,92.0,15.4,29.7,47,23.0,15.4,0.5,0.0
59,Nov-21,97.0,9.4,29.9,49,21.0,15.5,0.5,0.03
60,Dec-21,90.0,10.9,33.3,79,23.0,13.6,0.7,0.1
61,Jan-22,87.0,13.2,29.2,62,16.0,14.6,0.54,0.05
62,Feb-22,91.0,14.0,31.0,54,26.0,18.6,0.56,0.04
63,Mar-22,86.0,14.8,32.4,62,35.0,12.6,0.72,0.05
64,Apr-22,90.0,15.8,33.8,47,31.0,22.6,0.64,0.04
65,May-22,87.0,13.3,36.5,42,29.0,5.3,0.78,0.04
66,Jun-22,91.0,14.5,33.8,29,31.0,11.1,1.13,0.03
67,Jul-22,76.0,9.3,30.3,23,26.0,15.7,0.69,0.03
68,Aug-22,89.0,12.0,35.0,22,26.0,15.2,0.64,0.09
69,Sep-22,92.0,13.0,37.3,30,31.0,10.0,0.7,0.06
70,Oct-22,93.0,12.0,30.7,46,28.0,9.7,0.67,0.07
71,Nov-22,87.0,10.4,28.2,78,30.0,12.1,1.52,0.03
72,Dec-22,88.0,13.0,34.5,72,15.0,16.5,1.39,0.04
